label,email
spam,Rs.8850 on Successful Registration.!!
spam,Claim your free t-shirt today and put our A-Team of security experts to the test with a free trial.
ham,Inviting you to the farewell party
spam,Your email has won the sum of £800 000 in the Qatar 2022 FIFA Promo.
spam,Free Bitcoin upto ? 1 Lakh every day
ham,There will be a meeting today evening in the seminar hall
spam,Want to Study Abroad this 2022? You absolutely cannot miss this!
ham,How is your fever? Get well soon.
spam,hello - your medical Card XXX is ready
ham,Send me the assignment
spam,Intense matches  massive rewards!
spam,Bitcoin Worth? 50 Lakhs to be won daily
ham,Hello dear  Hope you are fine
ham,How was your exams?
ham,Will you come tomorrow?
spam,Choose personalized gifts this festive season. Shop from a variety of options like Mugs  Calendars  Pens  Notebooks & more
ham,Will call you later
spam,1872+ Excel Templates to Get your Work Done Faster & Smarter
ham,How is it there?
spam,Expires soon: Rs.500 off on Lenskart eyewear worth Rs. 2500.Use code Valid till 04 Nov. TnC Apply
ham,Please call me in the evening
ham,Congratulations on your new job role
spam,Lenskart store at Padivattom is now open for your essential Eyewear needs. Call 9873401513
spam,Your Rs.75 1mg Cash + Flat 25% OFF + 5% 1mg Cash on medicines end in 4 hours! Get Extra Rs.75 Paytm cashback & more offers
ham,Can't talk now. Call me later?
spam,Highest Discount Ever.Use your Rs.75 1mg Cash & get FLAT 25% OFF
spam,Sale Ends Tomorrow
ham,I'll call you right back
ham,Call me very urgent
spam,EARLY ACCESS LIVE NOW: Big Diwali Sale on Shopsy. Enjoy shopping with up to 80% off and earn with every purchase. Shop Now!
ham,Sorry. Just ignore this message. Was sent by mistake
spam,Hey  look! We have handpicked the most-ordered smartphones under Rs. 9 999 on Shopsy! Hurry  shop & earn now
ham,Thanks for the email
ham,See you tomorrow morning
spam,Your 50% Discount worth Rs.25 is expiring soon!
ham,Call me when you are free
spam,Be the first to grab exclusive deals with Flipkart Pay Later. Shop during The Big Billion Days & Pay Next Month.
spam,Join gaming community Fleet of Gamers & get Rs.500 Off on Laptops on Flipkart!
spam,THE BIGGEST SALE OF THE YEAR ON TABLETS is here! UP to 45% off on top brands & Exciting new launches.
ham,Don't forget to take your jackets as it is so cold here
ham,We are happy to inform you that you have successfully passed the assessment test
ham,This work is to be done during today's MI LAB session.
ham,"Dear students. This work  for today's MI Lab session. So, start performing this activity from now itself and complete it within the time scheduled"
ham,"Based on the student's request, the time for assignment submission changed to tomorrow"
spam,40% off Creative Cloud Don't miss this incredible deal to create anything you imagine using the world's best creative apps at just ?2394.22/mo. Incl. GST.
